Deposit,Sample,Reference,Fe,Mn,Co,Cu,Ga,Ge,Ag,Cd,In,Sn,Sb,Pb,Deposit type
Freiberg eb,eb09,"Bauer et al., 2019",82763.85939,7679.73828,1.87118182,8041.087795,12.86010606,0.257212782,298.7595752,2225.336301,4.701569222,120.6761024,54.66929639,50.78668427,Epithermal
Freiberg eb,eb09,"Bauer et al., 2019",84349.5124,7682.916608,1.842681023,4242.360935,11.8153548,0.282474675,147.7408911,2219.034444,4.885430289,146.482162,2.834769642,45.85722949,Epithermal
Freiberg eb,eb09,"Bauer et al., 2019",85085.11536,6003.447274,3.24812869,2320.52423,8.538988327,0.437848584,163.4065398,2285.073818,7.407451177,68.50226727,63.06128027,37.86009988,Epithermal
Freiberg eb,eb12,"Bauer et al., 2019",100330.4122,1565.787494,0.958411389,5994.998834,8.51067677,0.03825533,69.38834984,4960.535277,328.2955298,187.1940808,2.298108472,38.71904229,Epithermal
Freiberg eb,eb12,"Bauer et al., 2019",98599.38405,1057.814879,0.550378895,624.1036998,19.52501992,0.00553359,5.902551608,5265.817126,112.1098452,372.6477692,0.101831485,0.40127488,Epithermal
Freiberg eb,eb12,"Bauer et al., 2019",87874.07884,657.8366594,0.429653383,8808.651362,16.84359573,0.013892116,90.74694239,5590.441259,277.4607552,411.6236609,11.54238243,36.81826332,Epithermal
Freiberg eb,eb12,"Bauer et al., 2019",95385.16015,1690.308821,0.094336762,505.9022715,20.78281214,0.44412464,5.226585624,4832.200341,32.05975413,307.3458258,0.199031034,0.532250484,Epithermal
Freiberg eb,eb12,"Bauer et al., 2019",95175.84257,991.8985337,0.049390029,1535.99336,9.252784121,0.026287576,15.78005927,5203.956226,189.7715543,63.58270918,0.983243499,4.715743379,Epithermal
Freiberg eb,eb12,"Bauer et al., 2019",92911.43558,2101.368197,0.135069071,3527.411316,13.86462478,0.008803368,20.29639785,4970.831374,128.9871497,105.0350303,3.389002923,12.09837512,Epithermal
Freiberg eb,eb12,"Bauer et al., 2019",93363.4926,2728.214376,0.781007642,992.9594123,7.479490827,0.049135835,12.07716294,5359.833121,504.6656918,127.7327827,0.40147802,1.601794793,Epithermal
Freiberg eb,eb13,"Bauer et al., 2019",90854.93597,4898.992257,0.780255308,130.2900619,15.99502213,0.46586937,6.25659837,1867.441176,15.82169555,49.22479745,0.346900315,0.66368299,Epithermal
Freiberg eb,eb13,"Bauer et al., 2019",83692.435,3866.514304,0.314535852,60.63841646,18.55236846,0.291956843,1.691978597,1665.397475,7.681209955,14.5648245,0.067883133,0.104943738,Epithermal
Freiberg eb,eb13,"Bauer et al., 2019",83758.45879,3769.516498,0.320615455,277.5368745,9.211774841,0.243733607,108.968406,1643.34327,4.706898026,75.13719607,120.2157792,0.724129969,Epithermal
Freiberg eb,eb13,"Bauer et al., 2019",89079.76751,4772.245192,1.11927333,81.00871242,10.5340539,0.246485741,3.549698521,1875.1226,9.952015883,34.68151459,0.216787738,0.383845487,Epithermal
Freiberg eb,eb13,"Bauer et al., 2019",86918.8547,4171.098581,0.310380911,202.2996082,13.04943684,6.268298397,31.48106187,1872.546965,5.799239642,39.66443481,25.45025068,2.29929007,Epithermal
Freiberg eb,eb13,"Bauer et al., 2019",89790.95316,5885.624288,0.06595323,234.7015196,16.92829508,0.31070418,71.36410637,1653.866662,5.23746197,66.87255516,110.5931626,3.927966367,Epithermal
Freiberg eb,eb13,"Bauer et al., 2019",81826.45521,3316.154167,0.031841994,180.4731067,6.524689629,0.251190341,8.783758382,1646.141765,2.223037497,119.1768166,0.140382245,0.339326722,Epithermal
Freiberg eb,eb13,"Bauer et al., 2019",84938.21478,3550.58427,0.00889696,189.642234,14.51169518,0.361917635,8.274101617,1818.603492,2.00659303,105.5393075,0.197667221,0.793578417,Epithermal
Freiberg eb,eb13,"Bauer et al., 2019",89243.52211,4145.97094,0.588844123,82.92414012,25.30677459,0.420811355,4.075043164,1940.204773,9.885971939,27.26844471,0.005214311,0.143592558,Epithermal
Freiberg eb,eb14,"Bauer et al., 2019",84263.43415,3769.539292,0.025214885,1491.803571,10.22615263,0.511524999,41.85802752,2115.303751,2.114022884,652.9650996,32.99233048,1.149472571,Epithermal
Freiberg eb,eb14,"Bauer et al., 2019",85935.4762,4566.657323,0.15775175,1623.289068,3.906599842,0.202637504,73.15617748,1740.284455,3.277014985,0.789266101,44.88793604,5.099528461,Epithermal
Freiberg eb,eb14,"Bauer et al., 2019",88032.92767,4701.88047,0.04812686,24.59653646,3.853199344,0.004939344,1.482556316,1733.337085,4.292992699,0.691725742,0.021008666,0.176196779,Epithermal
Freiberg eb,eb14,"Bauer et al., 2019",87141.08481,4227.732928,0.008324877,192.9168003,13.72299402,0.290629043,5.839592433,2069.25017,0.366173502,118.0095074,0.710094598,0.518484578,Epithermal
Freiberg eb,eb14,"Bauer et al., 2019",95273.88461,5927.395149,0.026761678,356.5807637,10.21962306,0.288663968,41.44165164,1860.545421,0.936345425,252.5665778,44.70099092,0.66781536,Epithermal
Freiberg eb,eb14,"Bauer et al., 2019",296.3451259,2.327428142,13.45917728,88.86625907,0.027602254,0.008863355,15.06244863,5306.655553,0.478558188,49.96527753,6.905684936,10.6457128,Epithermal
Freiberg eb,eb14,"Bauer et al., 2019",85786.97163,3130.491935,0.04157032,1354.686918,9.852754978,0.383836457,11.39274117,2049.623474,3.423352681,1039.318204,0.780656789,0.834994841,Epithermal
Freiberg eb,eb14,"Bauer et al., 2019",90055.07665,4505.85093,0.002693088,165.4533245,13.81192738,0.286844639,12.24886683,2165.517196,0.28417434,57.79144369,8.704317183,1.202711127,Epithermal
Freiberg eb,eb14,"Bauer et al., 2019",2234.889583,58.30139304,2.654904959,431.0114315,2.306139622,0.426664426,84.72031866,3738.756572,25.88523983,230.7932306,93.67320442,52.37400253,Epithermal
Freiberg eb,eb14,"Bauer et al., 2019",43949.45684,1139.458924,6.41667801,562.7561742,13.45150726,0.375684917,38.22908214,2114.37722,0.560341155,109.0961086,32.07661093,3.05332461,Epithermal
Freiberg eb,eb14,"Bauer et al., 2019",6245.513093,316.920983,6.107751704,4042.668509,1.825450759,0.001882875,667.3907764,5042.160983,3.562081691,534.0780514,107.9575114,111.7526547,Epithermal
Freiberg eb,eb14,"Bauer et al., 2019",62557.59298,2918.081137,1.095089925,3835.762452,8.854238366,0.003926876,1465.703968,2035.379512,1.089617104,218.6097765,538.6489446,989.7704637,Epithermal
Freiberg eb,eb14,"Bauer et al., 2019",91402.1054,5995.769509,0.023236077,78.31975527,18.1878241,0.307088307,3.430725797,1814.062235,0.284076962,36.95505297,0.094781023,0.353946445,Epithermal
Freiberg eb,eb16,"Bauer et al., 2019",81780.75023,2296.386165,1.115224341,40.8721293,12.48371392,0.002153182,3.819550485,1956.721542,4.351566795,3.5557194,0.068398954,1.020017695,Epithermal
Freiberg eb,eb16,"Bauer et al., 2019",90326.70554,2461.084231,1.22153718,589.4231298,8.312019688,0.251316202,15.74508123,1997.996899,2.271372405,433.0258907,0.500567789,0.403519112,Epithermal
Freiberg eb,eb16,"Bauer et al., 2019",27111.57974,1772.809582,4.287638731,1108.678568,2.706796824,0.515786944,186.3413208,2159.487724,3.744017345,301.8259934,263.0015088,61.51161195,Epithermal
Freiberg eb,eb16,"Bauer et al., 2019",38571.47871,1527.106026,1.175390485,1245.171643,4.105961946,0.039290557,515.5362545,2017.378167,3.259188048,184.4541679,604.7689429,46.11032333,Epithermal
Freiberg eb,eb16,"Bauer et al., 2019",102696.1324,3370.537182,1.034495127,734.1863058,9.771149921,0.303367497,142.7968512,2449.780826,3.910003317,259.0720728,131.1311654,2.852756178,Epithermal
Freiberg eb,eb16,"Bauer et al., 2019",87201.6333,2959.259575,0.87443591,1025.051075,10.6249711,0.28152455,21.69394517,2041.694578,4.304464002,173.8489784,8.151482215,9.222063456,Epithermal
Freiberg eb,eb16,"Bauer et al., 2019",86811.29506,2957.881764,0.990996306,193.9968201,11.07708342,0.010866304,19.64006868,1810.68441,3.215814611,70.41968182,5.941519441,3.150530273,Epithermal
Freiberg eb,eb17,"Bauer et al., 2019",93485.70683,8693.414935,0.012182874,371.9015223,9.290230141,0.00131009,10.98933676,1910.383921,3.03348504,5.974914644,0.476444711,4.144312894,Epithermal
Freiberg eb,eb17,"Bauer et al., 2019",91603.27578,5633.190343,0.122390734,1519.811081,11.45758992,0.489546468,553.665954,1807.731919,1.293225879,189.44838,429.9331422,10.78804381,Epithermal
Freiberg eb,eb17,"Bauer et al., 2019",90792.11539,5898.276613,0.040692108,4004.686506,12.76713596,0.541922277,796.4882282,1786.131347,1.27330946,190.5355605,777.5837455,18.90110573,Epithermal
Freiberg eb,eb17,"Bauer et al., 2019",95371.69025,5965.292239,0.157754601,1279.829559,8.516347065,0.267761493,172.6667097,1879.108996,1.623469866,394.728697,154.2239079,3.876722022,Epithermal
Freiberg eb,eb17,"Bauer et al., 2019",89687.98895,6207.963223,0.125076079,751.0976997,9.522011024,0.038796827,21.46895973,1659.825682,1.809048406,197.5912177,4.65476794,2.78989353,Epithermal
Freiberg eb,eb17,"Bauer et al., 2019",85743.39317,4466.288709,0.023268321,981.7322472,5.655012185,0.290659333,9.306348452,1748.685353,0.994466968,3.745043484,0.930498241,5.036552418,Epithermal
Freiberg eb,eb17,"Bauer et al., 2019",90769.15934,6970.805747,0.0225699,430.7092206,6.367820313,0.017712994,19.79016295,1801.2643,1.188880529,27.3180856,1.442711229,4.27590397,Epithermal
Freiberg eb,eb17,"Bauer et al., 2019",82099.26196,4257.776573,0.075665973,2552.257663,8.976683745,0.515571795,219.8533482,2050.174234,6.154498255,1102.395603,8.480803978,2.459477766,Epithermal
Freiberg eb,eb17,"Bauer et al., 2019",97470.15504,6149.79472,0.084055735,339.3353619,10.0467147,0.021782074,34.95690378,1924.70999,1.228248025,112.8834735,36.92596592,1.638776082,Epithermal
Freiberg eb,eb17,"Bauer et al., 2019",95363.05199,6310.720377,0.066275582,535.6656619,11.82222144,0.002928438,160.1878028,1883.211551,1.055539162,128.4976083,156.886417,2.799307206,Epithermal
Freiberg eb,eb18,"Bauer et al., 2019",77075.11004,4721.12508,2.129036226,4979.095999,11.0946979,0.369101204,161.5763134,2635.030399,7.065417235,921.8228651,20.62215269,52.96081435,Epithermal
Freiberg eb,eb18,"Bauer et al., 2019",84422.10719,3036.03999,3.501148291,1197.586665,11.70966643,0.349691355,33.63797131,2573.94133,4.270031111,848.9223757,0.460308421,1.585494586,Epithermal
Freiberg eb,eb18,"Bauer et al., 2019",79534.2194,3867.207469,8.583952345,5470.024293,11.01991403,0.021207577,159.2833689,2440.174633,10.65053048,98.68731437,24.48399039,55.27327945,Epithermal
Freiberg eb,eb18,"Bauer et al., 2019",78220.78397,3212.560734,0.267476213,1443.782536,19.96043644,0.322027755,102.7081098,1972.311012,3.139892141,179.6576992,29.30935884,159.4150769,Epithermal
Freiberg eb,eb18,"Bauer et al., 2019",80071.35868,2915.439845,0.336621995,987.5982914,18.32702492,0.295350893,368.6751782,2023.547411,3.083020205,265.1910746,234.1187666,17.00336247,Epithermal
Freiberg eb,eb18,"Bauer et al., 2019",78517.59237,5541.242815,1.592968243,3599.299595,13.44601657,0.55358365,157.3434774,2622.871879,5.581856311,1435.747772,29.95928898,15.92444911,Epithermal
Freiberg eb,eb18,"Bauer et al., 2019",82623.11499,1628.789209,0.073493696,218.1101948,5.231571861,0.019480204,137.8487361,1011.11881,2.322744249,24.25347333,247.8560706,0.495731604,Epithermal
Freiberg eb,eb19,"Bauer et al., 2019",82497.81747,1627.553191,0.045325304,11.739391,5.290972114,0.012972968,0.372062742,1035.621762,0.770204939,0.903739465,0.073434452,0.241773281,Epithermal
Freiberg eb,eb19,"Bauer et al., 2019",92734.85604,1829.57954,0.097542457,21.28690816,4.149352658,0.016280088,0.545229082,1219.845306,7.186951708,0.406025452,0.039938156,0.264442785,Epithermal
Freiberg eb,eb19,"Bauer et al., 2019",89866.17829,2084.784561,0.023970696,244.7079782,4.565188846,0.002986179,10.48404068,1193.282641,0.477981753,1.309274242,1.446043556,7.910420534,Epithermal
Freiberg eb,eb19,"Bauer et al., 2019",92277.25182,1895.474248,0.008642943,2861.934007,4.652285992,0.001922213,52.3515061,2023.996921,0.731939847,6.618870751,80.18448364,21.47241112,Epithermal
Freiberg eb,eb19,"Bauer et al., 2019",93012.41706,7006.815869,0.483379348,32.2335634,9.536605398,0.044374441,1.158297306,1212.581312,15.18287408,2.020769428,0.212486166,0.276130596,Epithermal
Freiberg eb,eb19,"Bauer et al., 2019",152.730406,4.922721302,1.418628009,117.251658,0.03202499,0.006778633,32.03105001,1155.458336,14.09565918,29.8666376,50.05741033,22.33908987,Epithermal
Freiberg eb,eb19,"Bauer et al., 2019",404.8576465,5.360279801,3.60714312,294.2147366,0.935324725,0.015970572,222.7171253,1300.653509,12.06608993,18.14074111,255.7442159,85.1489383,Epithermal
Freiberg eb,eb19,"Bauer et al., 2019",81100.34422,1967.65276,0.205930158,43.91400931,9.912745182,0.29078462,15.53311743,829.6719347,9.519873565,3.674664951,15.10312826,2.048090013,Epithermal
Freiberg eb,eb19,"Bauer et al., 2019",88366.11667,2032.231537,0.31217676,24.32103353,5.844987224,0.045624387,1.612077285,935.4280241,11.97003607,0.897018105,0.00015591,0.183510599,Epithermal
Freiberg eb,eb19,"Bauer et al., 2019",84109.511,5562.109281,0.241246924,2035.675887,6.061172098,0.008314422,927.8918355,1856.120314,6.706691586,15.39470089,1043.864659,6.146604749,Epithermal
Freiberg eb,eb19,"Bauer et al., 2019",95232.09114,7103.630833,0.221459564,28.15068542,7.977489413,0.303879281,1.083298556,1526.969888,5.970985865,2.53793642,0.370925433,0.253812122,Epithermal
Freiberg eb,eb19,"Bauer et al., 2019",81377.34814,1737.646458,0.501487481,77.7741121,10.85518877,0.289319233,4.144569859,904.2078404,54.2469692,1.55088806,6.322009169,0.66154611,Epithermal
Freiberg eb,eb19,"Bauer et al., 2019",85057.37776,1894.861673,0.250506154,160.5243936,8.87062135,0.28426573,78.00168542,862.3937739,15.95307427,18.90898553,95.03980322,108.6540162,Epithermal
Freiberg eb,eb20,"Bauer et al., 2019",86458.06709,1278.173491,4.745326951,2041.986107,9.053036978,0.056082735,10.86084836,5719.344707,192.9933641,21.70316251,1.237743333,2.987308118,Epithermal
Freiberg eb,eb20,"Bauer et al., 2019",91728.22783,1692.863379,1.0178007,1555.778927,10.98577753,0.002096223,14.78816036,5824.064511,292.2038809,1015.733854,0.001690563,0.703374699,Epithermal
Freiberg eb,eb20,"Bauer et al., 2019",85690.5972,1571.185259,0.9119292,1991.04552,11.87995494,0.435259547,18.31898796,6112.90957,155.7708622,1279.694946,0.496077771,1.580175875,Epithermal
Freiberg eb,eb20,"Bauer et al., 2019",99898.22759,690.0686497,4.882968838,887.0100073,11.01912088,0.017169739,11.42563328,5765.096122,329.2993414,460.4041525,0.003872974,0.102138285,Epithermal
Freiberg eb,eb20,"Bauer et al., 2019",84199.85392,5377.952427,29.02701762,2373.848465,7.111566538,0.008070005,18.89643453,4995.746752,332.7085473,94.39844119,2.624261337,5.021646519,Epithermal
Freiberg eb,eb20,"Bauer et al., 2019",87894.98312,4897.00766,25.80882384,791.4139052,7.495879032,0.001320942,9.688067179,5867.779326,314.7604495,274.5287251,1.957547358,1.620851089,Epithermal
Freiberg eb,eb20,"Bauer et al., 2019",89026.11355,1463.575427,3.034544107,1952.437738,10.36407255,0.282368202,28.02058279,5623.724296,291.9666889,1407.895638,0.153583061,0.580796466,Epithermal
Freiberg eb,eb20,"Bauer et al., 2019",89474.041,1575.522011,3.575521527,518.0491896,6.265569384,3.31E-05,6.644915191,5561.062759,277.5087978,203.0434171,0.005083582,0.277416201,Epithermal
Freiberg eb,eb20,"Bauer et al., 2019",96521.80913,661.5040801,3.172856032,550.9946251,8.717445789,0.028703319,5.985615426,6119.523119,268.4918018,217.961886,0.092544169,0.306548895,Epithermal
Freiberg eb,eb21,"Bauer et al., 2019",100846.8059,2168.940578,0.12234126,2084.87862,23.81013823,0.036602332,50.35410921,8268.651262,149.2154641,224.6321436,5.590145068,9.93509965,Epithermal
Freiberg eb,eb21,"Bauer et al., 2019",102112.3975,417.7724718,0.507615763,751.3318951,35.74228932,0.004226896,21.64058863,8652.0294,418.6821309,57.98718143,2.114901587,5.81098815,Epithermal
Freiberg eb,eb21,"Bauer et al., 2019",100756.057,414.7554399,0.609662183,1653.903458,35.66225736,0.285351414,31.86841029,6155.59894,865.7527675,396.285321,0.108089821,0.49227984,Epithermal
Freiberg eb,eb21,"Bauer et al., 2019",95792.88618,479.061587,0.255199422,2730.997826,26.20641329,0.253745082,82.98123314,5582.585772,299.3074974,512.0122616,5.805108127,6.87773217,Epithermal
Freiberg eb,eb21,"Bauer et al., 2019",89192.0627,689.8379638,1.790447707,9563.395391,15.72978249,0.021689342,237.4836924,5552.329997,293.6699569,296.6544524,11.41384051,49.20433975,Epithermal
Freiberg eb,eb21,"Bauer et al., 2019",113896.6386,658.2280839,0.414454315,8116.770065,27.15057754,0.169898026,127.5945541,4445.415195,367.3365063,5989.891334,1.493105535,583.6248562,Epithermal
Freiberg eb,eb21,"Bauer et al., 2019",102387.3147,649.6378458,0.233558016,1417.287006,29.69521739,0.31662095,14.40663038,5164.984834,403.5862865,658.4231954,0.088713198,2.539561908,Epithermal
Freiberg eb,eb21,"Bauer et al., 2019",105403.223,832.102604,0.642004819,1565.001425,13.45949608,0.035910853,55.4028227,7171.606165,893.4832777,250.8227246,1.703204882,2.697767936,Epithermal
Angouran,AN14-7-9(S1),"Zhuang et al., 2019",81579,33.27,276.2,1131,202.9,237.5,381.6,5509,20.46,73.95,399.2,561.4,MVT
Angouran,AN14-7-9(S1),"Zhuang et al., 2019",69509,22.48,413.7,1213,133.6,221.2,635.9,7402,3.946,27.13,978.5,454.2,MVT
Angouran,AN14-7-9(S1),"Zhuang et al., 2019",65857,26.35,382.1,508.7,40.73,201.9,400.8,6922,0.822,3.737,509.4,442.8,MVT
Angouran,AN14-7-9(S1),"Zhuang et al., 2019",70722,25.02,371.2,266.3,16.09,249.7,399,6869,0.045,0.795,313.6,276.4,MVT
Angouran,AN14-7-9(S1),"Zhuang et al., 2019",59753,42.47,217.2,583.9,51.8,208.7,235.1,5345,15.2,45.77,235.3,219.9,MVT
Angouran,AN14-7-9(S1),"Zhuang et al., 2019",63482,24.16,407.1,159.6,3.368,149.5,261.3,7533,0.046,0.635,223.6,462.1,MVT
Angouran,AN14-7-9(S1),"Zhuang et al., 2019",56030,23.87,458.8,107.8,1.162,166.6,221,6384,0.039,0.336,201.6,687.1,MVT
Angouran,AN14-7-9(S1),"Zhuang et al., 2019",77999,23.22,449.4,12.52,1.217,335.3,165.8,6323,0.04,0.994,28.12,48.04,MVT
Angouran,AN14-7-9(S1),"Zhuang et al., 2019",69930,27.51,307.4,138.2,5.14,153.4,187.4,6070,0.055,0.822,139.2,334.2,MVT
Angouran,AN14-8-4(S1),"Zhuang et al., 2019",56692,20.56,205.1,173.1,11.44,106.6,145.6,5659,0.051,0.808,87.09,424,MVT
Angouran,AN14-8-4(S1),"Zhuang et al., 2019",73393,26.1,164.2,39.46,5.994,339.4,443.8,7743,0.069,0.75,57.39,198.5,MVT
Angouran,AN14-8-4(S1),"Zhuang et al., 2019",31853,90.62,365.1,363.5,38.34,102.2,214.9,6937,9.059,14.48,160.3,166.8,MVT
Angouran,AN14-8-4(S1),"Zhuang et al., 2019",26560,35.44,257.8,562.2,44.35,39.96,402.1,7394,11.61,26.32,448.7,308.4,MVT
Angouran,AN14-8-4(S1),"Zhuang et al., 2019",43022,75.01,137.8,504.6,44.21,128.1,175.6,6032,3.195,13.47,166.8,191.7,MVT
Angouran,AN14-8-4(S1),"Zhuang et al., 2019",41876,50.72,125.6,504.1,94.6,96.46,158.8,5541,19.64,52.55,140.2,184.2,MVT
Angouran,AN14-8-4(S1),"Zhuang et al., 2019",30351,48.99,136.1,470,123.1,69.21,166,5503,3.915,32.18,203.1,307.6,MVT
Angouran,AN14-8-4(S1),"Zhuang et al., 2019",36416,24.72,196.3,483.3,95.78,112.4,187.5,5448,2.427,16.71,160.7,182.2,MVT
Angouran,AN14-8-4(S1),"Zhuang et al., 2019",39744,68.23,255,893.6,168.7,112,267.6,5209,13.57,71.29,260.9,303.2,MVT
Angouran,AN14-8-4(S1),"Zhuang et al., 2019",44362,97.48,264.9,580.3,98.42,142.8,233.6,5089,7.116,32.66,246.2,205.8,MVT
Angouran,AN14-8-4(S1),"Zhuang et al., 2019",40198,30.71,263.1,969.7,145,132,277.3,6119,3.487,18.9,468,352.9,MVT
Angouran,AN14-8-4(S1),"Zhuang et al., 2019",43124,11.93,490.1,701.9,58.31,83.09,425.8,8398,6.801,14.66,629.7,791.7,MVT
Angouran,AN14-8-4(S1),"Zhuang et al., 2019",22954,7.794,304.1,1060,67.14,326.5,411.3,7811,3.507,21.08,130.4,330.3,MVT
Angouran,AN14-8-4(S2),"Zhuang et al., 2019",12842,4.581,187.8,23.21,1.446,36.21,24.62,3888,0.035,0.65,26.22,35.94,MVT
Angouran,AN14-8-4(S2),"Zhuang et al., 2019",14348,2.532,224,113.3,2.949,381.9,76.29,5873,0.027,0.266,5.295,295,MVT
Angouran,AN14-8-4(S2),"Zhuang et al., 2019",7549,1.862,168.9,11.46,1.444,97.71,47.63,3591,0.016,0.622,6.81,148.8,MVT
Angouran,AN14-8-4(S2),"Zhuang et al., 2019",11365,2.136,172.4,76.68,9.123,254.4,62.15,5396,0.023,0.716,7.101,413.3,MVT
Angouran,AN14-8-4(S2),"Zhuang et al., 2019",14572,3.528,199,53.27,1.895,282.5,67.95,5233,0.072,0.208,7.068,477.5,MVT
Angouran,AN14-8-4(S2),"Zhuang et al., 2019",13680,3.621,219.2,151.6,2.952,464.7,77.34,4930,0.002,0.434,7.697,589.5,MVT
Angouran,AN14-8-7(S2),"Zhuang et al., 2019",30369,8.924,258.2,24.27,4.384,103.6,356.6,8522,0.152,1.524,294.2,268.1,MVT
Angouran,AN14-8-7(S2),"Zhuang et al., 2019",11439,2.287,236,10.5,1.217,55.79,51.02,4559,0.016,0.729,42.88,33.81,MVT
Angouran,AN14-8-7(S2),"Zhuang et al., 2019",25823,4.182,551.7,9.391,1.24,107.4,33.91,551.6,0.012,0.964,10.09,15.56,MVT
Angouran,AN14-8-7(S2),"Zhuang et al., 2019",17104,2.364,305.6,15.53,1.648,95.4,40.74,1700,0.008,0.873,12.5,30.65,MVT
Angouran,AN14-8-7(S2),"Zhuang et al., 2019",43928,6.746,287.1,7.101,1.413,30.21,5.976,1520,0.015,0.533,3.463,11.69,MVT
Angouran,AN14-8-7(S2),"Zhuang et al., 2019",12406,1.928,209.6,6.335,1.264,104.2,23.03,4694,0.032,0.814,21.97,29.46,MVT
Angouran,AN14-8-7(S2),"Zhuang et al., 2019",12364,14.52,158.4,7.361,1.314,32.32,85.46,3023,0.014,0.943,21.42,142.2,MVT
Angouran,AN14-8-7(S2),"Zhuang et al., 2019",18579,6.83,175.7,13.14,1.879,190.2,80.57,2918,0.009,0.558,8.04,233.9,MVT
Angouran,AN13-36-11(S2),"Zhuang et al., 2019",7876,2.011,116.2,153.5,30.74,112.5,246.5,6455,0.324,7.943,22.42,124.4,MVT
Angouran,AN13-36-11(S2),"Zhuang et al., 2019",25811,8.158,152.1,10.78,1.224,299,235.5,5361,0.004,0.904,13.52,403.9,MVT
Angouran,AN13-36-11(S2),"Zhuang et al., 2019",22987,5.738,199.2,10.81,1.407,285.2,6.242,6419,0.014,0.454,25.66,1158,MVT
Angouran,AN13-36-11(S2),"Zhuang et al., 2019",17922,4.588,178.1,11.87,1.113,258.2,20.28,7529,0.05,0.24,31.18,1003,MVT
Qilinchang,HZQ7-8 (Sph-I),"Oyebamiji et al., 2020",248355.53,45.51,0.04,898.4,2.57,325.31,24.25,943.81,0.04,2.68,13.5,32.47,MVT
Qilinchang,HZQ11d (Sph-I),"Oyebamiji et al., 2020",233953.05,17.93,0.06,175.37,1.27,21.34,106.28,1097.89,0.01,0.67,133.84,128.39,MVT
Qilinchang,HZQ11d (Sph-I),"Oyebamiji et al., 2020",96555.91,85.04,0.07,375.46,1.33,30.55,523.255,810.13,0.01,0.54,38.73,176.31,MVT
Qilinchang,HZQ11d (Sph-I),"Oyebamiji et al., 2020",229541.67,100.18,0.06,605.65,0.03,1.16,368.785,872.38,0.01,0.21,11.26,80.64,MVT
Qilinchang,HZQ13-6 (Sph-I),"Oyebamiji et al., 2020",100247.14,14.29,0.23,342.83,1.12,0.92,147.28,889.42,0.31,0.46,69.39,82.49,MVT
Qilinchang,HZQ13-6 (Sph-I),"Oyebamiji et al., 2020",53050.12,80.69,0.13,1582.56,0.32,48.41,33.065,795.39,0.01,0.17,3.86,9.77,MVT
Qilinchang,HZ13-11 (Sph-I),"Oyebamiji et al., 2020",184573.64,18.72,3.63,440.24,6.25,16.42,92.6,870.97,0.11,0.85,45.75,484.06,MVT
Qilinchang,HZ13-11 (Sph-I),"Oyebamiji et al., 2020",181210.42,15,0.17,11.18,0.64,0.67,3.2,825.47,0.48,0.23,0.51,0.56,MVT
Qilinchang,HZ13-11 (Sph-I),"Oyebamiji et al., 2020",201818.01,29.45,0.12,9.15,0.83,0.72,4.33,919.52,0.07,0.28,0.63,1.39,MVT
Qilinchang,HZ13-11 (Sph-I),"Oyebamiji et al., 2020",100184.02,22.58,0.17,12.42,0.51,2.05,4.91,812.74,0.39,0.49,3.26,4.97,MVT
Qilinchang,HZQ-5-7 (Sph-I),"Oyebamiji et al., 2020",149995.2,113.4,0.2,863.7,0.01503878,271.3,29.8,1357.5,0.021924011,0.4,2.9,0.0002969,MVT
Qilinchang,HZQ-5-7 (Sph-I),"Oyebamiji et al., 2020",125800.3,70.4,0.1,361.5,0.2,102.8,42.1,1475.9,0.00013096,0.2,20.1,0.027607969,MVT
Qilinchang,HZQ-5-7 (Sph-I),"Oyebamiji et al., 2020",4857.4,9.2,0.011838969,65.5,4.2,10.7,9.2,1692.3,0.2,0.1,20,0.008364844,MVT
Qilinchang,HZQ-5-7 (Sph-I),"Oyebamiji et al., 2020",3388.4,9,0.014467263,65.6,4.6,4.2,32.1,1774.1,0.5,0.5,30.5,0.001250395,MVT
Qilinchang,HZQ-5-2 (Sph-I),"Oyebamiji et al., 2020",27832.3,14.3,0.1,15,0.3,0.7,15.2,1272,1.3,0.2,1.1,0.010660644,MVT
Qilinchang,HZQ-5-2 (Sph-I),"Oyebamiji et al., 2020",25058.4,11.8,0.003275609,21.8,3.6,0.8,8.1,1006.6,8.9,0.1,0.00763005,0.049902749,MVT
Qilinchang,HZQ-5-2 (Sph-I),"Oyebamiji et al., 2020",22236.9,9.4,0.014114313,40.6,3.9,0.8,4.5,1015.5,33.9,0.2,0.1,0.033174436,MVT
Qilinchang,HZQ-5-2 (Sph-I),"Oyebamiji et al., 2020",22000.8,9.4,0.009878536,37.4,4.6,0.7,3.1,983.9,31.7,0.00929323,0.4,0.031233369,MVT
Qilinchang,HZQ-5-2 (Sph-I),"Oyebamiji et al., 2020",20267.2,13.6,0.2,72.4,4.1,0.8,61.9,1085.3,38.1,0.3,8.6,0.009072365,MVT
Qilinchang,HZQ-5-2 (Sph-I),"Oyebamiji et al., 2020",21267.8,9.7,0.1,35.1,5.9,1.3,1.6,977.3,28.3,0.1,0.2,0.032292652,MVT
Qilinchang,HZQ-5-2 (Sph-I),"Oyebamiji et al., 2020",22724.6,13.1,0.1,108.8,8.8,21.2,9.6,968.5,0.5,15.5,3.1,0.001513704,MVT
Qilinchang,HZQ-5-2 (Sph-I),"Oyebamiji et al., 2020",25479.3,14.7,0.000193074,137.4,8.7,34.4,11.9,1016.4,0.2,6.7,1.1,0.049262433,MVT
